order_id,order_time,delivery_time,origin_hub,destination_lat,destination_lon,distance_km,parcel_weight_kg,vehicle_id,delivery_status,order_date,vehicle_id_telemetry,traffic_index,inventory_units
ORD100000,2025-01-05 06:00:00,2025-01-05 07:42:51.221576973,Hub 2,12.93310844718968,80.10576264557746,14.05210100474014,3.328421758343243,V086,Late,2025-01-05,V086,,9709.0
ORD100001,2025-01-08 11:00:00,2025-01-08 14:03:05.412357946,Hub 3,13.03872087722332,80.24353049252667,13.919296058907989,1.522976858091293,V022,On-time,2025-01-08,V022,0.8695093064442182,1641.0
ORD100002,2025-01-04 20:00:00,2025-01-04 22:27:15.351015952,Hub 1,12.95454754447089,80.30916286642338,28.236576474855227,5.241632758660793,V008,On-time,2025-01-04,V008,0.4049610559755609,4321.0
ORD100003,2025-01-01 14:00:00,2025-01-01 16:56:43.093235547,Hub 2,13.147996882126776,80.11834521695411,17.40717569252382,16.257546407835143,V019,On-time,2025-01-01,V019,0.6015028105532685,1456.0
ORD100004,2025-01-05 10:00:00,2025-01-05 12:54:18.400107427,Hub 2,13.186614540056045,80.28496439821586,28.84704494175301,6.053901747833333,V028,On-time,2025-01-05,V028,,9709.0
ORD100005,2025-01-03 23:00:00,,Hub 3,12.899452344901434,80.13545453122006,12.756429242547206,2.037684582849736,V100,Cancelled,2025-01-03,V100,0.4553144601387814,9211.0
ORD100006,2025-01-01 20:00:00,2025-01-01 23:31:39.574296055,Hub 3,13.060200711833923,80.29465240475457,26.07225366673257,2.174276964564091,V060,On-time,2025-01-01,V060,0.7254881461389125,2460.0
ORD100007,2025-01-05 06:00:00,2025-01-05 10:32:36.971665638,Hub 3,13.13405178655152,80.20465678449156,41.65576061395097,1.6063459638461883,V093,On-time,2025-01-05,V093,0.7379412310392414,1198.0
ORD100008,2025-01-06 01:00:00,2025-01-06 05:43:17.817246433,Hub 2,13.138059752049266,80.24984562993957,49.68846474594108,2.9086624710564024,V057,On-time,2025-01-06,V057,0.764837399842607,3875.0
ORD100009,2025-01-04 02:00:00,2025-01-04 04:37:58.396282363,Hub 3,13.004156690030612,80.16088989587868,24.49133369566386,0.5187566589773115,V021,Late,2025-01-04,V021,0.5696443058143097,9803.0
