order_id,order_time,delivery_time,origin_hub,destination_lat,destination_lon,distance_km,parcel_weight_kg,vehicle_id,delivery_status
ORD100000,2025-01-05 06:00:00,2025-01-05 07:42:51.221576973,Hub 2,12.93310844718968,80.10576264557746,14.052101004740141,3.328421758343243,V086,Late
ORD100001,2025-01-08 11:00:00,2025-01-08 14:03:05.412357946,Hub 3,13.038720877223321,80.24353049252667,13.919296058907989,1.522976858091293,V022,On-time
ORD100002,2025-01-04 20:00:00,2025-01-04 22:27:15.351015952,Hub 1,12.95454754447089,80.30916286642338,28.236576474855227,5.241632758660793,V008,On-time
ORD100003,2025-01-01 14:00:00,2025-01-01 16:56:43.093235547,Hub 2,13.147996882126776,80.11834521695411,17.40717569252382,16.257546407835143,V019,On-time
ORD100004,2025-01-05 10:00:00,2025-01-05 12:54:18.400107427,Hub 2,13.186614540056043,80.28496439821586,28.847044941753012,6.053901747833333,V028,On-time
ORD100005,2025-01-03 23:00:00,,Hub 3,12.899452344901434,80.13545453122006,12.756429242547206,2.0376845828497356,V100,Cancelled
ORD100006,2025-01-01 20:00:00,2025-01-01 23:31:39.574296055,Hub 3,13.060200711833923,80.29465240475457,26.07225366673257,2.174276964564091,V060,On-time
ORD100007,2025-01-05 06:00:00,2025-01-05 10:32:36.971665638,Hub 3,13.13405178655152,80.20465678449156,41.65576061395097,1.6063459638461883,V093,On-time
ORD100008,2025-01-06 01:00:00,2025-01-06 05:43:17.817246433,Hub 2,13.138059752049266,80.24984562993957,49.68846474594108,2.9086624710564024,V057,On-time
ORD100009,2025-01-04 02:00:00,2025-01-04 04:37:58.396282363,Hub 3,13.004156690030612,80.16088989587868,24.49133369566386,0.5187566589773115,V021,Late
ORD100010,2025-01-04 15:00:00,2025-01-04 17:39:55.610781987,Hub 2,12.928881719639806,80.29776044752037,23.5513012078407,6.260243544603096,V089,On-time
ORD100011,2025-01-05 20:00:00,2025-01-05 21:47:03.906423927,Hub 3,12.985498974139354,80.0869490971806,12.489732438031698,3.778557242235704,V067,On-time
ORD100012,2025-01-05 03:00:00,2025-01-05 06:14:30.656304700,Hub 2,13.11290344815849,80.10803468169775,5.2130936878083896,6.336974939905258,V027,On-time
ORD100013,2025-01-05 07:00:00,2025-01-05 09:19:57.171631414,Hub 2,13.197822262298235,80.0769660397601,27.67113261588462,3.92662955171536,V004,On-time
ORD100014,2025-01-07 07:00:00,2025-01-07 08:26:22.074380998,Hub 2,13.044001222758006,80.33487543601584,24.32321227230453,2.7115653845208283,V065,On-time
ORD100015,2025-01-06 10:00:00,2025-01-06 14:00:54.768169771,Hub 3,12.918293543027193,80.1898865278262,24.63307580695036,2.891637879827941,V073,Late
ORD100016,2025-01-07 05:00:00,2025-01-07 08:29:30.150819765,Hub 3,12.864677168369784,80.19324795063731,30.840289129937744,4.500437929361574,V071,On-time
ORD100017,2025-01-03 04:00:00,2025-01-03 07:22:13.012569588,Hub 1,13.18029144396418,80.14044695441132,25.573086865291693,6.27381041571219,V036,On-time
ORD100018,2025-01-01 01:00:00,2025-01-01 04:48:50.408304609,Hub 2,13.019061620795297,80.19091084964731,34.07609783696113,2.311629368974742,V093,Late
ORD100019,2025-01-04 15:00:00,2025-01-04 17:41:38.491683219,Hub 3,13.100807433981199,80.12052827727187,23.551879145303104,4.970563726112309,V029,Late
ORD100020,2025-01-07 13:00:00,2025-01-07 15:42:28.338762553,Hub 1,13.08106336230115,80.3354935104264,28.102069184205707,1.7311463795931636,V048,Late
ORD100021,2025-01-02 13:00:00,2025-01-02 14:40:46.404573902,Hub 1,13.161804949452689,80.1290361734566,17.610777874487333,2.538409322964695,V045,Late
ORD100022,2025-01-06 09:00:00,2025-01-06 10:33:30.685231155,Hub 3,12.943131700391794,80.32763419894614,13.691935534668087,1.7192784034184125,V038,On-time
ORD100023,2025-01-01 20:00:00,2025-01-01 22:21:32.183308771,Hub 2,13.004602032649002,80.19644004075096,17.527272903891614,8.984917364660102,V011,Late
ORD100024,2025-01-07 16:00:00,2025-01-07 18:01:25.841422923,Hub 1,13.169767291194562,80.18115349516654,14.999182527118522,1.139686107384321,V091,Late
ORD100025,2025-01-03 09:00:00,2025-01-03 11:22:49.591674508,Hub 1,13.054951667125776,80.29114629250807,20.115297808124193,7.788204669480536,V058,On-time
ORD100026,2025-01-01 21:00:00,2025-01-01 23:39:27.266678658,Hub 2,12.874976572740342,80.19838629064766,51.93527390348496,5.044264539041207,V083,On-time
ORD100027,2025-01-04 16:00:00,2025-01-04 17:48:43.239748388,Hub 3,12.918069461790054,80.13007073215782,19.38880963057439,3.6869644586968104,V031,On-time
ORD100028,2025-01-03 00:00:00,2025-01-03 02:24:10.384832671,Hub 2,12.933025255960095,80.18053972408781,30.3347568230082,6.671329572821481,V039,On-time
ORD100029,2025-01-03 10:00:00,2025-01-03 12:12:57.529958324,Hub 2,13.197824922647538,80.18189216228451,38.261000690123254,1.6155311856125658,V029,On-time
ORD100030,2025-01-08 01:00:00,2025-01-08 03:27:27.480312108,Hub 3,12.928448646519893,80.13854939076458,26.355365149044218,3.2245254641098566,V085,On-time
ORD100031,2025-01-01 14:00:00,2025-01-01 15:38:03.407114328,H1,13.154389425065386,80.17611809329541,17.528682732615742,2.4733684549214616,V027,On-time
ORD100032,2025-01-08 06:00:00,2025-01-08 08:35:22.828691986,Hub 2,12.877333477482276,80.08603477303507,14.191698798801996,7.130013289516765,V056,On-time
ORD100033,2025-01-03 02:00:00,2025-01-03 05:26:11.653281517,Hub 1,12.913602242704183,80.33204753432317,34.96672261741951,2.7875264003276015,V062,On-time
ORD100034,2025-01-05 11:00:00,2025-01-05 13:48:18.290721715,Hub 1,13.155219324084499,80.24199479196564,17.898519220956146,8.002889897386764,V010,On-time
ORD100035,2025-01-03 06:00:00,2025-01-03 07:26:02.896377342,Hub 1,13.164627766856407,80.10795668247187,12.636273746776677,2.6084730415402353,V042,On-time
ORD100036,2025-01-03 15:00:00,2025-01-03 16:46:49.066998614,Hub 3,12.91166868818348,80.28682467407974,14.90159673379091,2.4779184960288885,V057,On-time
ORD100037,2025-01-06 10:00:00,2025-01-06 12:38:44.969290515,Hub 1,12.930448264469435,80.12991092038365,21.59103613241988,11.784247813509317,V086,On-time
ORD100038,2025-01-03 02:00:00,2025-01-03 04:20:44.934467992,Hub 2,13.035698565966255,80.22887953772417,25.398706448851854,4.161131116008491,V073,On-time
ORD100039,2025-01-06 14:00:00,2025-01-06 16:27:59.477649987,Hub 2,12.868439033236665,80.32432550210005,23.162298068310776,9.146240895695264,V040,On-time
ORD100040,2025-01-01 20:00:00,2025-01-01 22:42:42.361041693,Hub 2,13.180849458609375,80.27958186226526,28.368196538644156,4.5741850375600706,V062,On-time
ORD100041,2025-01-04 00:00:00,2025-01-04 03:34:44.848900898,Hub 3,12.976726853782088,80.08660801715276,62.953350504817465,2.1876502353226788,V034,On-time
ORD100042,2025-01-07 22:00:00,2025-01-08 01:10:55.368296137,hub1,13.021250788024453,80.2137424419503,21.704804179797982,1.309166462609218,V054,On-time
ORD100043,2025-01-01 17:00:00,2025-01-01 20:09:43.474195450,Hub 3,12.886766924294642,80.26230160091494,31.73956422215297,4.621625216422491,V080,On-time
ORD100044,2025-01-06 11:00:00,2025-01-06 11:58:51.702839666,Hub 1,12.861390622090417,80.11060571797823,12.76196503776373,3.2197740135580712,V042,Late
ORD100045,2025-01-04 16:00:00,2025-01-04 18:49:21.497148814,Hub 1,13.013735917264462,80.0801627822951,21.067658335314615,2.121101356658813,V092,On-time
ORD100046,2025-01-03 11:00:00,2025-01-03 13:37:13.430541579,Hub 3,12.892583579530015,80.09440722734635,11.291094704901433,5.9325474562208536,V053,On-time
ORD100047,2025-01-01 13:00:00,2025-01-01 17:25:41.395706634,Hub 3,13.070611540878273,80.33896453621516,38.335709898868615,3.3109372207681185,V006,On-time
ORD100048,2025-01-01 08:00:00,2025-01-01 10:03:23.209927869,Hub 3,13.128068456167677,80.30351490987292,11.973340412966603,3.4399583699473575,V079,On-time
ORD100049,2025-01-04 17:00:00,2025-01-04 19:46:24.153640597,Hub 1,12.86108489610301,80.30738212995172,20.405208980948437,3.414096428839527,V012,On-time
ORD100050,2025-01-03 04:00:00,2025-01-03 06:25:41.523009344,Hub 3,13.064277875854374,80.12387114655384,4.781595932930389,5.846085092398909,V039,On-time
ORD100051,2025-01-06 09:00:00,2025-01-06 12:10:53.779035878,Hub 1,13.135469362752547,80.21747144701875,9.071808212139015,6.094010523291297,V027,Late
ORD100052,2025-01-04 11:00:00,2025-01-04 13:27:51.223669729,Hub 1,13.00379979283619,80.19627137768971,26.227306448788173,3.049549023330825,V002,On-time
ORD100053,2025-01-04 19:00:00,2025-01-04 20:46:10.851858238,Hub 2,13.185896632345047,80.30029185476688,11.14748447814094,2.8144838129195966,V021,On-time
ORD100054,2025-01-05 14:00:00,2025-01-05 16:50:35.321769690,Hub 1,12.888918217342297,80.17652312282297,17.42822802058771,3.3579572129211983,V056,On-time
ORD100055,2025-01-08 03:00:00,2025-01-08 07:01:27.798847471,Hub 3,12.963044562208111,80.21136793952058,38.90158238445397,3.58367667339165,V089,On-time
ORD100056,2025-01-01 07:00:00,2025-01-01 10:09:12.666179091,Hub 3,12.93052626187745,80.22432627678566,13.075903617074099,4.632344204923433,V014,On-time
ORD100057,2025-01-08 06:00:00,2025-01-08 08:36:41.852897427,Hub 3,13.19866690443934,80.16140533648249,7.259451318240039,7.5397183536665,V010,On-time
ORD100058,2025-01-02 10:00:00,2025-01-02 12:58:31.824397099,Hub 1,12.952961723971953,80.06018120549324,12.414969171974288,4.761142278264879,V087,On-time
ORD100059,2025-01-04 08:00:00,2025-01-04 12:26:43.042388694,Hub 1,12.985774361937905,80.19857050702724,27.03161530447037,2.530410973970405,V083,On-time
ORD100060,2025-01-07 19:00:00,2025-01-07 20:51:29.240901795,Hub 2,13.146665771398144,80.197980299627,4.674475669903192,8.648199261886123,V041,Late
ORD100061,2025-01-03 01:00:00,2025-01-03 04:46:52.477874295,Hub 2,13.175487227795244,80.06225494777445,31.17762636478128,3.5983438714652816,V006,On-time
ORD100062,2025-01-05 07:00:00,2025-01-05 09:23:15.410709409,Hub 3,13.178211530263765,80.19588506412566,24.57987347649852,1.6383204002200413,V019,On-time
ORD100063,2025-01-06 11:00:00,2025-01-06 13:18:42.366384788,Hub 2,13.045358813527178,80.2033430113089,17.340427079738046,2.1167317046698457,V051,On-time
ORD100064,2025-01-01 01:00:00,2025-01-01 04:41:28.068827992,Hub 3,13.082155779116787,80.09033900957985,14.440227788328123,6.334363050429996,V003,On-time
ORD100065,2025-01-06 13:00:00,2025-01-06 15:59:07.519704936,Hub 3,12.972210104367196,80.09319889174245,16.44650028528956,5.875368098413453,V019,On-time
ORD100066,2025-01-03 05:00:00,2025-01-03 08:36:20.978831764,Hub 3,13.062505555272597,80.33095867442512,35.437377603007434,9.693418466526829,V047,On-time
ORD100067,2025-01-05 09:00:00,2025-01-05 11:37:59.261065078,Hub 2,12.955961823957875,80.10711479404866,23.809734314991292,15.697646998948168,V015,Late
ORD100068,2025-01-01 03:00:00,2025-01-01 06:11:31.103363328,Hub 3,13.111109924725762,80.14363619344259,19.185973751787053,10.246166942981832,V051,On-time
ORD100069,2025-01-03 05:00:00,2025-01-03 09:58:24.479444953,Hub 2,12.957523540793165,80.13930177072531,80.0,2.9526589366289113,V039,Late
ORD100070,2025-01-07 01:00:00,,Hub 1,13.157793747884721,80.2472733688581,64.83137533968832,5.248408618290457,V087,Cancelled
ORD100071,2025-01-02 19:00:00,2025-01-02 21:58:09.420273231,Hub 3,12.900219361245256,80.2425891236746,25.87923339477745,1.175833146499008,V046,On-time
ORD100072,2025-01-07 17:00:00,2025-01-07 18:46:17.911472952,Hub 2,13.050131795201958,80.32381712846349,20.654574164820737,1.8225556110256698,V084,On-time
ORD100073,2025-01-01 13:00:00,2025-01-01 16:47:39.317815204,Hub 1,13.032236423696231,80.17083452033336,24.172241015172805,7.372203880876626,V086,Late
ORD100074,2025-01-04 22:00:00,2025-01-05 00:53:04.568870317,Hub 2,12.942301116037996,80.28402130903955,23.59214172208302,5.982578783621703,V024,On-time
ORD100075,2025-01-02 23:00:00,2025-01-03 01:15:49.758451617,Hub 3,12.859800738211906,80.16322728273303,12.554005968217307,1.49479421358401,V093,On-time
ORD100076,2025-01-01 14:00:00,2025-01-01 15:47:46.112173076,Hub 1,12.901986790238928,80.12201341204837,18.240600027087066,9.045145310484694,V027,On-time
ORD100077,2025-01-02 15:00:00,2025-01-02 15:55:13.363469284,Hub 1,13.188782908291751,80.31738316388211,17.902554725289544,3.5542683105848307,V071,On-time
ORD100078,2025-01-04 09:00:00,2025-01-04 12:47:15.993673936,Hub 1,13.17945658467378,80.19509857501343,36.32446571079113,4.525747116333009,V022,On-time
ORD100079,2025-01-05 14:00:00,2025-01-05 16:34:03.749538064,Hub 2,12.891755253138532,80.16715328427064,16.551939571538977,3.3114719525116545,V038,On-time
ORD100080,2025-01-03 04:00:00,,Hub 2,12.981201069604268,80.32168909095738,30.371907690224624,1.476053751222816,V020,Cancelled
ORD100081,2025-01-01 23:00:00,2025-01-02 02:07:54.427226343,Hub 2,13.012794316695706,80.33182235032268,28.055377944051216,0.842703875682225,V005,On-time
ORD100082,2025-01-07 09:00:00,2025-01-07 12:12:51.537244730,Hub 1,13.017325175776296,80.18542858145572,15.252098252208222,2.7518215769656322,V011,On-time
ORD100083,2025-01-06 03:00:00,2025-01-06 05:52:34.499272245,Hub 3,12.95458693716294,80.0559034937604,16.514679986513723,10.181156729398513,V060,On-time
ORD100084,2025-01-02 16:00:00,2025-01-02 17:48:56.757078306,Hub 3,13.169533491434523,80.05973868432349,3.499072743567152,6.286933516346978,V059,On-time
ORD100085,2025-01-07 12:00:00,2025-01-07 15:15:12.482567427,Hub 1,13.167971710169182,80.23271002303674,34.905320207679914,3.2681750527086337,V009,On-time
ORD100086,2025-01-01 14:00:00,2025-01-01 17:02:42.415062914,Hub 3,12.856624947187505,80.30560615282727,24.447915422382426,8.467218541229599,V050,On-time
