order_id,vehicle_id,traffic_index
ORD100000,V086,
ORD100001,V022,0.8695093064442182
ORD100002,V008,0.4049610559755609
ORD100003,V019,0.6015028105532685
ORD100004,V028,
ORD100005,V100,0.4553144601387814
ORD100006,V060,0.7254881461389125
ORD100007,V093,0.7379412310392414
ORD100008,V057,0.764837399842607
ORD100009,V021,0.5696443058143097
ORD100010,V089,0.39339682227046036
ORD100011,V067,0.34412378487478384
ORD100012,V027,0.8633941886653828
ORD100013,V004,0.6082202596907352
ORD100014,V065,0.43586892151812423
ORD100015,V073,0.7594238636693799
ORD100016,V071,0.5648143522141766
ORD100017,V036,0.3821409153196654
ORD100018,V093,0.5519811877496449
ORD100019,V029,0.376109373269539
ORD100020,V048,0.5770781471012901
ORD100021,V045,0.2851580429336941
ORD100022,V038,0.16921010520730573
ORD100023,V011,0.4117267984333546
ORD100024,V091,0.5467336558547277
ORD100025,V058,0.5718793805160449
ORD100026,V083,0.24508380042510425
ORD100027,V031,0.4714192650615996
ORD100028,V039,0.1402566354568358
ORD100029,V029,0.3745096311461482
ORD100030,V085,0.5023470291262401
ORD100031,V027,0.33334157982768975
ORD100032,V056,0.6292052844116588
ORD100033,V062,0.737345733049634
ORD100034,V010,0.6983043359017169
ORD100035,V042,0.3692958793614153
ORD100036,V057,0.5859623393573441
ORD100037,V086,0.5297160905223294
ORD100038,V073,0.6376422824856174
ORD100039,V040,0.43270582124075285
ORD100040,V062,0.42730396619063665
ORD100041,V034,0.1898175587023481
ORD100042,V054,0.643594776804919
ORD100043,V080,0.8845445677697752
ORD100044,V042,0.2692793095328065
ORD100045,V092,0.566922097132479
ORD100046,V053,0.7118851809352703
ORD100047,V006,0.9102480056115326
ORD100048,V079,0.35180867585078185
ORD100049,V012,0.20749235081763562
ORD100050,V039,0.7293780364515643
ORD100051,V027,0.7977510597733067
ORD100052,V002,0.4802882941658256
ORD100053,V021,0.6179435518146821
ORD100054,V056,
ORD100055,V089,0.8523256679124612
ORD100056,V014,0.6380739695058419
ORD100057,V010,0.6484088945329904
ORD100058,V087,0.5928311969955351
ORD100059,V083,0.7939368282846566
ORD100060,V041,0.6802717855927157
ORD100061,V006,0.8228877755695905
ORD100062,V019,0.6123732654032744
ORD100063,V051,0.38530768200871324
ORD100064,V003,0.8083187779198443
ORD100065,V019,0.8548052072675928
ORD100066,V047,0.6772188881960632
ORD100067,V015,0.492214180808714
ORD100068,V051,0.4164210735511824
ORD100069,V039,0.6927554064301933
ORD100070,V087,0.6457906936710933
ORD100071,V046,0.6510338704692507
ORD100072,V084,0.45269632958122424
ORD100073,V086,0.6887786337047225
ORD100074,V024,0.4819287371177568
ORD100075,V093,0.5450911989800685
ORD100076,V027,0.5564783035771437
ORD100077,V071,0.4500891381410029
ORD100078,V022,0.444455559151886
ORD100079,V038,0.6988703801919963
ORD100080,V020,0.48109064380214667
ORD100081,V005,0.5571762451471249
ORD100082,V011,0.6216484777700566
ORD100083,V060,0.4118310044677938
ORD100084,V059,0.765845283114241
ORD100085,V009,0.3816880971182341
ORD100086,V050,0.24113137141897978
ORD100087,V084,0.9063056165871516
ORD100088,V034,0.839881326759938
ORD100089,V080,0.622963237901794
ORD100090,V018,0.8606610980427735
ORD100091,V033,0.5620852157606416
ORD100092,V093,0.6611360002136158
ORD100093,V007,0.7313176216754377
ORD100094,V032,0.4688899408485643
ORD100095,V092,0.7472975470236547
ORD100096,V071,0.5857686222566537
ORD100097,V042,0.6295055541130313
ORD100098,V022,0.7129511025976779
ORD100099,V092,0.6563413833993706
ORD100100,V093,0.5843384812970067
ORD100101,V080,0.5280324686621011
ORD100102,V092,0.5483353978958566
ORD100103,V039,0.643049167424051
ORD100104,V028,0.42086154406499043
ORD100105,V068,0.5098025683334759
ORD100106,V073,0.7358012421019496
ORD100107,V071,0.7951391228208392
ORD100108,V009,0.5685440999292104
ORD100109,V010,0.6454843616220912
ORD100110,V006,0.8793632649769789
ORD100111,V098,0.6850231743698688
ORD100112,V076,0.7655160626663473
ORD100113,V038,0.17421935335408437
ORD100114,V011,0.46087855564332725
ORD100115,V094,0.5228343906535061
ORD100116,V002,0.6656324836313222
ORD100117,V007,0.6979170141316792
ORD100118,V032,0.6017502314835781
ORD100119,V089,0.415526549247175
ORD100120,V061,0.698799079552093
ORD100121,V071,0.502900547126085
ORD100122,V063,0.6089841509215915
